id,title,description,youtube_url,date,status
1,"Инвестиции в Центральной Азии","Инвестиции в Центральной Азии — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-25,active
2,"Тренды Fintech 2024","Тренды Fintech 2024 — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-23,active
3,"Как строить EdTech-стартап","Как строить EdTech-стартап — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-21,active
4,"AI в реальном бизнесе","AI в реальном бизнесе — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-19,active
5,"Истории успеха: AgroNext","Истории успеха: AgroNext — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-17,active
6,"Женщины в IT","Женщины в IT — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-15,active
7,"Венчурные фонды региона","Венчурные фонды региона — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-13,active
8,"Будущее HRTech","Будущее HRTech — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-11,active
9,"Юридические стартапы","Юридические стартапы — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-09,active
10,"Экология и технологии","Экология и технологии — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-07,active
11,"Медицинские инновации","Медицинские инновации — обсуждаем тренды и кейсы.",https://www.youtube.com/embed/dQw4w9WgXcQ,2025-07-05,active
